roll_number,question_paper_code,question_number,option_marked
10001,501,1,b
10001,501,2,a
10001,501,3,e
10001,501,4,e
10001,501,5,e
10001,501,6,b
10001,501,7,d
10001,501,8,e
10001,501,9,b
10001,501,10,a
10001,501,11,b
10001,501,12,a
10001,501,13,d
10001,501,14,c
10001,501,15,c
10001,501,16,e
10001,501,17,b
10001,501,18,c
10001,501,19,d
10001,501,20,c
10001,501,21,c
10001,501,22,d
10001,501,23,b
10001,501,24,e
10001,501,25,c
10001,501,26,b
10001,501,27,c
10001,501,28,d
10001,501,29,a
10001,501,30,e
10001,501,31,e
10001,501,32,c
10001,501,33,e
10001,501,34,e
10001,501,35,a
10001,501,36,e
10001,501,37,a
10001,501,38,b
10001,501,39,e
10001,501,40,c
10001,501,41,a
10001,501,42,e
10001,501,43,b
10001,501,44,e
10001,501,45,d
10001,501,46,a
10001,501,47,d
10001,501,48,b
10001,501,49,b
10001,501,50,c
10001,501,51,d
10001,501,52,e
10001,501,53,a
10001,501,54,e
10001,501,55,d
10001,501,56,d
10001,501,57,e
10001,501,58,d
10001,501,59,d
10001,501,60,b
10002,501,1,c
10002,501,2,b
10002,501,3,e
10002,501,4,a
10002,501,5,e
10002,501,6,e
10002,501,7,e
10002,501,8,c
10002,501,9,e
10002,501,10,d
10002,501,11,b
10002,501,12,e
10002,501,13,c
10002,501,14,a
10002,501,15,d
10002,501,16,e
10002,501,17,d
10002,501,18,b
10002,501,19,b
10002,501,20,e
10002,501,21,d
10002,501,22,e
10002,501,23,b
10002,501,24,e
10002,501,25,c
10002,501,26,e
10002,501,27,e
10002,501,28,a
10002,501,29,d
10002,501,30,c
10002,501,31,a
10002,501,32,b
10002,501,33,c
10002,501,34,b
10002,501,35,c
10002,501,36,c
10002,501,37,b
10002,501,38,d
10002,501,39,d
10002,501,40,e
10002,501,41,c
10002,501,42,b
10002,501,43,d
10002,501,44,b
10002,501,45,e
10002,501,46,e
10002,501,47,d
10002,501,48,d
10002,501,49,b
10002,501,50,d
10002,501,51,e
10002,501,52,b
10002,501,53,a
10002,501,54,e
10002,501,55,d
10002,501,56,b
10002,501,57,b
10002,501,58,b
10002,501,59,a
10002,501,60,c
10003,501,1,c
10003,501,2,a
10003,501,3,b
10003,501,4,b
10003,501,5,b
10003,501,6,e
10003,501,7,d
10003,501,8,e
10003,501,9,b
10003,501,10,b
10003,501,11,e
10003,501,12,c
10003,501,13,e
10003,501,14,b
10003,501,15,c
10003,501,16,b
10003,501,17,e
10003,501,18,c
10003,501,19,a
10003,501,20,e
10003,501,21,b
10003,501,22,a
10003,501,23,a
10003,501,24,c
10003,501,25,c
10003,501,26,a
10003,501,27,d
10003,501,28,b
10003,501,29,d
10003,501,30,c
10003,501,31,c
10003,501,32,c
10003,501,33,c
10003,501,34,d
10003,501,35,c
10003,501,36,b
10003,501,37,b
10003,501,38,a
10003,501,39,c
10003,501,40,c
10003,501,41,b
10003,501,42,b
10003,501,43,b
10003,501,44,b
10003,501,45,e
10003,501,46,c
10003,501,47,d
10003,501,48,b
10003,501,49,c
10003,501,50,a
10003,501,51,c
10003,501,52,e
10003,501,53,e
10003,501,54,c
10003,501,55,d
10003,501,56,c
10003,501,57,a
10003,501,58,b
10003,501,59,c
10003,501,60,c
10004,501,1,d
10004,501,2,c
10004,501,3,e
10004,501,4,c
10004,501,5,b
10004,501,6,d
10004,501,7,d
10004,501,8,a
10004,501,9,b
10004,501,10,a
10004,501,11,b
10004,501,12,a
10004,501,13,a
10004,501,14,e
10004,501,15,d
10004,501,16,c
10004,501,17,c
10004,501,18,d
10004,501,19,c
10004,501,20,e
10004,501,21,d
10004,501,22,e
10004,501,23,b
10004,501,24,c
10004,501,25,c
10004,501,26,b
10004,501,27,a
10004,501,28,d
10004,501,29,d
10004,501,30,c
10004,501,31,a
10004,501,32,c
10004,501,33,b
10004,501,34,e
10004,501,35,a
10004,501,36,a
10004,501,37,c
10004,501,38,d
10004,501,39,c
10004,501,40,c
10004,501,41,c
10004,501,42,c
10004,501,43,e
10004,501,44,e
10004,501,45,c
10004,501,46,b
10004,501,47,c
10004,501,48,d
10004,501,49,e
10004,501,50,d
10004,501,51,e
10004,501,52,a
10004,501,53,a
10004,501,54,a
10004,501,55,e
10004,501,56,e
10004,501,57,a
10004,501,58,d
10004,501,59,a
10004,501,60,e
10005,501,1,c
10005,501,2,a
10005,501,3,e
10005,501,4,d
10005,501,5,e
10005,501,6,c
10005,501,7,d
10005,501,8,b
10005,501,9,d
10005,501,10,a
10005,501,11,d
10005,501,12,c
10005,501,13,d
10005,501,14,d
10005,501,15,e
10005,501,16,e
10005,501,17,a
10005,501,18,a
10005,501,19,b
10005,501,20,a
10005,501,21,e
10005,501,22,b
10005,501,23,c
10005,501,24,c
10005,501,25,d
10005,501,26,b
10005,501,27,d
10005,501,28,e
10005,501,29,e
10005,501,30,b
10005,501,31,c
10005,501,32,c
10005,501,33,e
10005,501,34,c
10005,501,35,a
10005,501,36,d
10005,501,37,b
10005,501,38,b
10005,501,39,c
10005,501,40,c
10005,501,41,a
10005,501,42,a
10005,501,43,e
10005,501,44,e
10005,501,45,c
10005,501,46,a
10005,501,47,d
10005,501,48,b
10005,501,49,d
10005,501,50,e
10005,501,51,b
10005,501,52,d
10005,501,53,a
10005,501,54,d
10005,501,55,b
10005,501,56,b
10005,501,57,b
10005,501,58,d
10005,501,59,e
10005,501,60,d
10006,501,1,b
10006,501,2,d
10006,501,3,e
10006,501,4,d
10006,501,5,e
10006,501,6,a
10006,501,7,c
10006,501,8,c
10006,501,9,e
10006,501,10,a
10006,501,11,a
10006,501,12,b
10006,501,13,e
10006,501,14,b
10006,501,15,e
10006,501,16,a
10006,501,17,d
10006,501,18,b
10006,501,19,a
10006,501,20,d
10006,501,21,c
10006,501,22,c
10006,501,23,d
10006,501,24,a
10006,501,25,a
10006,501,26,d
10006,501,27,d
10006,501,28,d
10006,501,29,a
10006,501,30,c
10006,501,31,b
10006,501,32,c
10006,501,33,c
10006,501,34,b
10006,501,35,a
10006,501,36,e
10006,501,37,d
10006,501,38,d
10006,501,39,c
10006,501,40,d
10006,501,41,a
10006,501,42,b
10006,501,43,d
10006,501,44,e
10006,501,45,c
10006,501,46,d
10006,501,47,d
10006,501,48,b
10006,501,49,a
10006,501,50,e
10006,501,51,a
10006,501,52,c
10006,501,53,a
10006,501,54,c
10006,501,55,e
10006,501,56,b
10006,501,57,b
10006,501,58,c
10006,501,59,e
10006,501,60,d
10007,501,1,d
10007,501,2,d
10007,501,3,d
10007,501,4,d
10007,501,5,d
10007,501,6,b
10007,501,7,a
10007,501,8,b
10007,501,9,a
10007,501,10,e
10007,501,11,a
10007,501,12,e
10007,501,13,b
10007,501,14,c
10007,501,15,b
10007,501,16,b
10007,501,17,c
10007,501,18,e
10007,501,19,d
10007,501,20,c
10007,501,21,a
10007,501,22,e
10007,501,23,c
10007,501,24,d
10007,501,25,c
10007,501,26,b
10007,501,27,a
10007,501,28,c
10007,501,29,d
10007,501,30,d
10007,501,31,b
10007,501,32,e
