Consumer_ID,Preferred_Cuisine
U1001,American
U1002,Mexican
U1003,Mexican
U1004,Bakery
U1004,Breakfast
U1004,Japanese
U1004,Contemporary
U1004,Mexican
U1004,Bagels
U1004,Coffee Shop
U1004,Continental
U1004,Cafeteria
U1005,American
U1006,Mexican
U1007,Family
U1008,Coffee Shop
U1008,Mexican
U1008,Juice
U1008,Hawaiian
U1008,Hot Dogs
U1008,Latin American
U1008,Korean
U1008,American
U1008,Cafeteria
U1008,Italian
U1009,Diner
U1009,Fast Food
U1009,Family
U1009,Coffee Shop
U1009,Deli
U1009,Cafeteria
U1009,Mexican
U1010,Mexican
U1011,Mexican
U1012,Latin American
U1013,Japanese
U1014,Japanese
U1014,Fast Food
U1015,Mexican
U1016,Coffee Shop
U1016,Contemporary
U1016,Regional
U1016,Fusion
U1016,Japanese
U1016,Portuguese
U1016,American
U1016,Indian
U1016,Eastern European
U1016,Lebanese
U1016,Moroccan
U1016,Barbecue
U1016,Polynesian
U1016,Polish
U1017,Chinese
U1018,Mexican
U1019,Family
U1020,Mexican
U1021,Pizzeria
U1021,Regional
U1021,Chinese
U1021,Burgers
U1022,Mexican
U1023,Mexican
U1024,Afghan
U1025,Mexican
U1026,Mexican
U1027,Family
U1028,Mexican
U1029,Mexican
U1030,Mexican
U1031,Mexican
U1032,Mexican
U1033,Mexican
U1034,Mexican
U1035,Family
U1036,Mexican
U1037,Mexican
U1038,Mexican
U1039,Regional
U1040,Pizzeria
U1041,Contemporary
U1042,Mexican
U1043,Latin American
U1044,Mexican
U1045,Middle Eastern
U1045,Mexican
U1045,Mongolian
U1045,Moroccan
U1046,Bar
U1047,American
U1048,Mexican
U1049,Mexican
U1050,Mexican
U1051,Mexican
U1052,Bakery
U1053,Mexican
U1054,Mexican
U1055,Breakfast
U1056,Mexican
U1057,American
U1058,Cuban
U1059,Mexican
U1060,Burgers
U1060,Cafeteria
U1060,Pizzeria
U1060,Juice
U1060,American
U1060,Tex Mex
U1060,Spanish
U1060,Mexican
