Consumer_ID,City,State,Country,Latitude,Longitude,Smoker,Drink_Level,Transportation_Method,Marital_Status,Children,Age,Occupation,Budget
U1001,San Luis Potosi,San Luis Potosi,Mexico,22.139997,-100.978803,No,Abstemious,On Foot,Single,Independent,23,Student,Medium
U1002,San Luis Potosi,San Luis Potosi,Mexico,22.150087,-100.983325,No,Abstemious,Public,Single,Independent,22,Student,Low
U1003,San Luis Potosi,San Luis Potosi,Mexico,22.119847,-100.946527,No,Social Drinker,Public,Single,Independent,23,Student,Low
U1004,Cuernavaca,Morelos,Mexico,18.867,-99.183,No,Abstemious,Public,Single,Independent,72,Employed,Medium
U1005,San Luis Potosi,San Luis Potosi,Mexico,22.183477,-100.959891,No,Abstemious,Public,Single,Independent,20,Student,Medium
U1006,San Luis Potosi,San Luis Potosi,Mexico,22.15,-100.983,Yes,Social Drinker,Car,Single,Independent,23,Student,Medium
U1007,San Luis Potosi,San Luis Potosi,Mexico,22.118464,-100.938256,No,Casual Drinker,Public,Single,Independent,23,Student,Low
U1008,San Luis Potosi,San Luis Potosi,Mexico,22.122989,-100.923811,No,Social Drinker,Public,Single,Independent,23,Student,Low
U1009,San Luis Potosi,San Luis Potosi,Mexico,22.159427,-100.990448,No,Abstemious,On Foot,Single,Kids,21,Student,Medium
U1010,San Luis Potosi,San Luis Potosi,Mexico,22.190889,-100.998669,No,Social Drinker,Car,Married,Kids,25,Student,Medium
U1011,Ciudad Victoria,Tamaulipas,Mexico,23.724972,-99.152856,No,Abstemious,Public,Single,Independent,23,Student,Medium
U1012,Cuernavaca,Morelos,Mexico,18.813348,-99.243697,No,Casual Drinker,Public,Single,Independent,24,Student,Medium
U1013,San Luis Potosi,San Luis Potosi,Mexico,22.174624,-100.993873,No,Abstemious,Public,Single,Independent,30,Employed,Medium
U1014,Ciudad Victoria,Tamaulipas,Mexico,23.751607,-99.170108,No,Abstemious,Public,Single,Independent,22,Student,Medium
U1015,San Luis Potosi,San Luis Potosi,Mexico,22.12676,-100.905209,Yes,Social Drinker,Public,Single,Independent,23,Student,Medium
U1016,San Luis Potosi,San Luis Potosi,Mexico,22.156247,-100.977402,No,Casual Drinker,On Foot,Single,Independent,21,Student,Medium
U1017,Cuernavaca,Morelos,Mexico,18.952615,-99.201616,No,Casual Drinker,Public,Single,,21,Employed,Medium
U1018,San Luis Potosi,San Luis Potosi,Mexico,22.190949,-100.917902,Yes,Casual Drinker,Public,Single,Independent,23,Student,Low
U1019,San Luis Potosi,San Luis Potosi,Mexico,22.153385,-100.975294,No,Casual Drinker,Public,Single,Independent,23,Student,Medium
U1020,Cuernavaca,Morelos,Mexico,18.878189,-99.222969,No,Abstemious,Public,Single,Independent,30,Employed,Medium
U1021,Ciudad Victoria,Tamaulipas,Mexico,23.730569,-99.171883,No,Social Drinker,Car,Single,Dependent,28,Student,Medium
U1022,San Luis Potosi,San Luis Potosi,Mexico,22.146708,-100.964355,No,Casual Drinker,Car,Single,Independent,22,Student,Medium
U1023,Ciudad Victoria,Tamaulipas,Mexico,23.752943,-99.166589,No,Casual Drinker,Car,Single,Independent,24,Student,Low
U1024,San Luis Potosi,San Luis Potosi,Mexico,22.154021,-100.976028,,Abstemious,,,,82,,
U1025,San Luis Potosi,San Luis Potosi,Mexico,22.125603,-100.907844,No,Social Drinker,Public,Single,,22,Student,Medium
