Restaurant_ID,Name,City,State,Country,Zip_Code,Latitude,Longitude,Alcohol_Service,Smoking_Allowed,Price,Franchise,Area,Parking
132560,Puesto de Gorditas,Ciudad Victoria,Tamaulipas,Mexico,,23.7523041,-99.1669133,None,Yes,Low,No,Open,Public
132561,Cafe Ambar,Ciudad Victoria,Tamaulipas,Mexico,,23.726819,-99.1265059,None,No,Low,No,Closed,None
132564,Church's,Ciudad Victoria,Tamaulipas,Mexico,,23.7309245,-99.1451848,None,No,Low,No,Closed,None
132572,Cafe Chaires,San Luis Potosi,San Luis Potosi,Mexico,,22.1416471,-100.9927118,None,No,Low,No,Closed,Yes
132583,McDonalds Centro,Cuernavaca,Morelos,Mexico,62000,18.9222904,-99.234332,None,No,Low,Yes,Closed,None
132584,Gorditas Doña Tota,Ciudad Victoria,Tamaulipas,Mexico,,23.7523648,-99.1652879,None,No,Medium,Yes,Closed,Yes
132594,Tacos De Barbacoa Enfrente Del Tec,Ciudad Victoria,Tamaulipas,Mexico,,23.7521677,-99.165709,None,No,Low,No,Open,Public
132608,Hamburguesas La Perica,Ciudad Victoria,Tamaulipas,Mexico,,23.7588052,-99.1651297,None,Yes,Low,Yes,Open,Public
132609,Pollo Frito Buenos Aires,Ciudad Victoria,Tamaulipas,Mexico,,23.7602683,-99.1658646,None,No,Low,Yes,Closed,Yes
132613,Carnitas Mata,Ciudad Victoria,Tamaulipas,Mexico,,23.7529035,-99.165076,None,Yes,Medium,Yes,Closed,Yes
132626,La Perica Hamburguesa,Ciudad Victoria,Tamaulipas,Mexico,,23.7375834,-99.1351318,None,No,Medium,Yes,Closed,Yes
132630,Palomo Tec,Ciudad Victoria,Tamaulipas,Mexico,,23.7529305,-99.1644725,None,No,Low,No,Closed,None
132654,Carnitas Mata  Calle 16 de Septiembre,Ciudad Victoria,Tamaulipas,Mexico,,23.7355234,-99.1295877,None,No,Low,No,Closed,None
132660,Carnitas Mata Calle Emilio Portes Gil,Ciudad Victoria,Tamaulipas,Mexico,,23.7529428,-99.1646791,None,No,Low,No,Closed,None
132663,Tacos Abi,Ciudad Victoria,Tamaulipas,Mexico,,23.7525107,-99.1669536,None,No,Low,No,Closed,None
132665,Tacos Correcaminos,Ciudad Victoria,Tamaulipas,Mexico,,23.7367977,-99.1342413,None,No,Low,No,Closed,None
132667,Little Pizza Emilio Portes Gil,Ciudad Victoria,Tamaulipas,Mexico,,23.7526973,-99.1633594,None,No,Low,Yes,Closed,None
132668,Tacos El Guero,Ciudad Victoria,Tamaulipas,Mexico,,23.738212,-99.1519547,None,No,Low,No,Closed,None
132706,Gorditas Dona Tota,Ciudad Victoria,Tamaulipas,Mexico,,23.7292162,-99.1323571,None,No,Medium,Yes,Closed,Public
132715,Tacos De La Estacion,Ciudad Victoria,Tamaulipas,Mexico,,23.7324226,-99.1586602,None,No,Low,No,Open,None
132717,Tortas Hawaii,Ciudad Victoria,Tamaulipas,Mexico,,23.7318602,-99.1504365,None,No,Medium,No,Closed,Public
132723,Gordas De Morales,San Luis Potosi,San Luis Potosi,Mexico,,22.1489337,-101.019845,Full Bar,Smoking Section,Medium,No,Closed,Public
132732,Taqueria El Amigo ,Ciudad Victoria,Tamaulipas,Mexico,87018,23.7543569,-99.171288,None,No,Low,No,Open,None
